Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
30/3/2017/,52k,0.0807701619716001,0.0380424107973422,0.0955121269048098,0.242071768449411,0.650703972863878,0.146772562692839,0.120368823428625,0.00645908005839259,0.00454872599385107,0.00253803738322644,0.00450224643314121,0.0986366832598523,0.00197732060005076,0.00317655402373494,0.0100609193130343,0.00574936110462984,0.00928602922956148,3.7769053266383,10.1208119411831
1/4/2017/,53k,0.0521365400760762,0.0135430070249349,0.0234581953805462,0.0555565683000453,0.745678435402771,0.0660475274973288,0.0452493117355746,0.00208929372628004,0.0107342588173594,0.00213877295123177,0.00297875697463957,0.042189464620045,0.00474906279858368,0.00236671510137302,0.005835186509189,0.00372748237234942,0.0084294607371678,2.92466769352622,8.21298241214943
3/4/2017/,54k,0.168837305895651,0.0406012217891102,0.0604127349127459,0.136472835356982,1.33278112221444,0.140325356094307,0.168784245739606,0.00435861613806528,0.0116449133001407,0.00144727229570036,0.00288074156177439,0.081564084970249,0.00576603014913597,0.00331573836820539,0.0104394426962032,0.00639785765941831,0.0100706154350473,3.0163579805228,14.6683596711882
5/4/2017/,55k,0.0504136173754723,0.0142446932639341,0.031251252878607,0.0794917366757014,0.599116753809605,0.0632990451871656,0.0368186252789685,0.00275799083610135,0.00325129629008545,0.00117072550392029,0.00254267634643859,0.0407430963954038,0.00222086686262383,0.00241893417100486,0.00668276368061535,0.00205787387219305,0.00579330515550966,2.76801126094572,6.53560811709458
7/4/2017/,56k,0.206274579742491,0.0355880537519469,0.016164229866857,0.0568961882111935,0.619502368990276,0.0486477554017229,0.0576743431179693,0.00228942106375339,0.00703167458084413,0.00202922580908581,0.00377362042482392,0.0439481217638249,0.0031595900823952,0.002438762328378,0.00831425598823334,0.00218140673312296,0.00570910074851405,2.89258763705156,6.47707080949709
9/4/2017/,57k,0.0414032140360285,0.00885867374831283,0.0155798137502921,0.0390872678132551,0.560216427053027,0.0578390429367032,0.0406603906797381,0.00171781317004378,0.00394453457536939,0.00121484238027232,0.00189971492184176,0.0419023384188826,0.00234958525700979,0.00280080384279549,0.00539666116403294,0.00285443131231882,0.00450702046621013,3.01372641513098,6.40888777231804
11/4/2017/,58k,0.0401925307882456,0.0139578431605569,0.0286963260366643,0.0696568950923538,0.693832476101162,0.0535758897391157,0.150661384630342,0.00293091965778716,0.00661597795573878,0.0018159776863808,0.0030964083870764,0.0672548093549471,0.00344273751682869,0.00889539377571105,0.00780054936494804,0.00284442606720086,0.00810739260899608,3.51998440359955,7.61707160381717
13/4/2017/,59k,0.0487611649008997,0.0107469818321992,0.0201089810216876,0.0457278621378315,0.641801037173189,0.0466533870652531,0.0502892020915384,0.00187202082570402,0.00585978209250266,0.00150108217333352,0.00187003468962905,0.0515646386761152,0.0030737588536336,0.00256155086309808,0.00615749558308401,0.00183703038176588,0.00665423331850543,2.25514869788957,5.78397532624182
15/4/2017/,60k,0.0197884026771525,0.00354178066074607,0.00906303664761332,0.0228528090280158,0.460358535877218,0.054142302905564,0.0165143465147884,0.000783073470967387,0.00224377563397701,0.00132451720416484,0.00147365639697039,0.0305261681309037,0.00103758924769874,0.00205706031764593,0.00446405056099146,0.00247959795907855,0.00633053273045955,1.94028275209462,4.65831740909702
17/4/2017/,61k,0.0279197550275323,0.00433238407841429,0.00652589112448568,0.0155307732671195,0.332381883413516,0.0450618592314946,0.0123757099490498,0.000925811719706313,0.00155776335568668,0.00138141408534106,0.00203482588630983,0.0213483578800617,0.000793639592173968,0.00151519855703758,0.00329025888616137,0.00216634497788744,0.00591300849402177,2.20561482211794,3.67443781101481
19/4/2017/,62k,0.0108473312219339,0.00325263740715211,0.00792623169521654,0.0185804792679972,0.326224444650307,0.0423475114589835,0.0311816462108481,0.00207483420138388,0.000586609636508743,0.000738350498085297,0.00152797819148081,0.0204252682394752,0.00060470129784711,0.00216240118245456,0.00579425381724732,0.00230977528211853,0.00616421034932577,2.08110611840104,3.39227076462469
21/4/2017/,63k,0.0303901881914167,0.00757498074868887,0.0216525519300397,0.0487777804482059,0.717688724320979,0.088528050297383,0.0368315933706875,0.00231854725224886,0.00264954392179091,0.00174751489709777,0.00157122152541403,0.0363246763850797,0.00127882721276378,0.0019909578649983,0.00817076467228,0.00337943635286777,0.00785491984689916,2.5087150624875,6.69047753373823
23/4/2017/,64k,0.0468694152340677,0.0100343427974528,0.0133868798854987,0.0345382723685919,0.48953332891143,0.0786715036243881,0.0352248291187145,0.00132735883092707,0.00161552591231165,0.00199025094370189,0.00291943479555039,0.0431924826362479,0.000672747279749975,0.00191487723407648,0.00607737400715979,0.00357560702669097,0.00733477818517173,2.85660324276825,6.02408098993562
25/4/2017/,65k,1.46953564253246,0.249350224258188,0.0903952654959688,0.209526211304718,1.25254925109563,0.151635987174977,0.229807392764899,0.00542501535093471,0.0144742950045867,0.00309700048329626,0.00407393767806619,0.0977800631611429,0.00666183499565287,0.00355233917378762,0.00848521335553302,0.00910944026626213,0.00533359908555681,2.99558812688263,18.5296838408332
27/4/2017/,66k,1.4453816529577,0.413757462951615,0.79833592135838,1.73723872125038,2.17437269861413,0.241935377184969,0.861378139382251,0.0394136461334284,0.0706449301097732,0.00295768906818815,0.00764824125027406,0.425961877991929,0.0341622259932262,0.00281773346376158,0.0115651135342379,0.0129797014591733,0.0055636637545877,3.91576009083508,30.5801721847909
29/4/2017/,67k,0.0478372283009832,0.00842939042107542,0.00948807970293176,0.024511765045359,0.414582395009085,0.0414574118823927,0.0190451831436907,0.000277182226601284,0.00155488108276965,0.00149863871263028,0.00169092557931278,0.0219381242100554,0.000824054199051018,0.00158948466006118,0.00366742913938119,0.00213670316784871,0.00431464886924568,1.65100781780605,3.99693180979982
1/5/2017/,68k,0.0377590376185524,0.0123963787298385,0.0288242355046694,0.0809443734558655,1.28894126104576,0.0690228932908885,0.0367084139656737,0.00332520874533598,0.0134359208398691,0.00155483089427646,0.00283853713208843,0.0468941221167133,0.0058033621090539,0.00201346527258201,0.00834641696991675,0.00311997354130703,0.00739276114046099,1.77097992547942,9.63887482957158
